V1,state,abbreviation,meanrat_com,meanrat_medicaid,meanrat_medicare,meanrat_overall,year,pop_2016.x,pct_pop_age0-18_2016,pct_pop_age19-25_2016,pct_pop_age26-34_2016,pct_pop_age35-54_2016,pct_pop_age55-64_2016,pct_pop_age65_2016,pct_citizen_2016,pct_male_2016,pct_female_2016,pct_white_2016,pct_black_2016,pct_hispanic_2016,pct_asian_2016,pct_native_2016,pct_pacific_2016,pct_two_or_more_races_2016,pct_fpv<100_2016,pct_fpv100-199_2016,pct_fpv200-399_2016,pct_fpv>400_2016,med_house_income_2016,pct_unemployed_2016,avg_monthly_SNAP_2016,expend_per_cap_2016,forclosure_rate_2016,pct_change_monthly_umployment_2016,pct_change_monthly_SNAP_2016,economic_distress_rank_2016,pct_any_mental_illness_2016,pct_serious_mental_illness_2016,cancer_death_rate_2016,death_rate_2016,cvs_death_rate_2016,firearm_death_rate_2016,opioid_od_death_rate_2016,all_drug_od_death_rate_2016,flu_pna_death_2016,pct_smoke_2016,pct_reported_poor_health_2016,expansion_2017,total_medicaid_enroll_2017,expansion_group_enrolled_2017,expansion_group_newly_eligible_enrolled_2017,hosp_expense_inpatient_day_2016,hosp_rate_gov_hosp_2016,hosp_rate_nonprofit_hosp_2016,hosp_rate_forprofit_hosp_2016,hosp_rate_total_2016,pct_uninsured_2013,pct_uninsured_2016,pct_change_uninsured_2013_2016,herfindahl_hirschman_Index_2016,market_share_largest_insure_2016,no_insure_>5%_mark_share_2016,gross_margins_per_member_2016,total_pc_hpsa_2017,pop_hpsa_2017,pct_needs_met_2017,no_practitioners_needed_2017,pct_hdhp_2017,avg_fam_prem_employee_cont_2016,avg_fam_prem_employer_cont_2016,avg_fam_prem_total_2016,avg_sing_prem_employee_cont_2016,avg_sing_prem_employer_cont_2016,avg_sing_prem_total_2016,hc_exp_per_cap_2014,avg_bench_mktplace_prem,pct_pot_mkt_pop_enrol_2016,no_insur_provid_2016,insur_spend_per_cap_2014,pct_not_hav_pcp_2016,quality_rank_2016,quality_value_2016,no_pcp_2018,no_specialist_2018,no_total_md_2018,pop_2016.y,land_area,pop_density,pct_disability_2016,num_gov_beds_2016,num_non_profit_beds_2016,num_for_profit_beds_2016,num_total_beds_2016,no_pcp_per_pop,no_specialists_per_pop,no_total_md_pop
11,Connecticut,CT,3.76923076923077,NA,3.58333333333333,3.71052631578947,2016,3570300,23,10,12,26,14.000000000000002,16,93,49,51,0.67,0.1,0.16,0.05,NA,<.01,NA,9.92,12.15,27.16,50.77,75923,4.8,431597,8903,1161,-3,-3.2,12,17.7,3.5000000000000004,144.9,654,144.3,4.6,24.5,27.4,11.7,13.3,14.399999999999999,1,862800,216900,201600,2704.6,10,531,5,546,13.200000000000001,6.800000000000001,-6.4,3878,54,3,-13,41,458794,0.22999999999999998,155,56.39999999999999,5296,13341,18637,1498,5047,6545,9859,353,35,4,5187,14.799999999999999,3,0.747,6886,8390,15276,3570300,4845,736.9040247678018,11.1,0,2,0,2,1.9286894658712153,2.349942581855866,4.278632047727082
12,Maryland,MD,3.71052631578947,4.14285714285714,3.9,3.83870967741935,2016,5932800,24,9,13,26,13,15,93,48,52,0.53,0.29,0.11,0.05,NA,NA,0.02,7.199999999999999,15.459999999999999,25.869999999999997,51.480000000000004,73760,4.2,744343,6778,675,-15.4,-7.3,34,16.2,3.3000000000000003,156.5,717.6,164.3,11.9,29.7,33.2,15.1,13.700000000000001,14.399999999999999,1,1160800,277000,277000,2694.3,NA,498,2,500,13.900000000000002,8.3,-5.7,6406,79,2,1,60,1178084,47.15,231,48.3,5478,13041,18519,1494,4664,6158,8602,254,34,5,4343,15.2,18,0.322,10808,13493,24301,5932800,9775,606.9360613810742,11,NA,1.9,0,1.9,1.8217367853290185,2.2743055555555554,4.0960423408845745
13,Michigan,MI,3.64285714285714,3.75,3.53333333333333,3.62820512820513,2016,9893200,23,9,12,26,14.000000000000002,16,96,49,51,0.75,0.14,0.05,0.03,NA,NA,0.02,11.21,15.989999999999998,31.34,41.449999999999996,57091,5,1473614,5481,1698,-5.800000000000001,-6.5,43,17.1,4.3999999999999995,166.4,785.4,200.6,12.3,18.5,24.4,13.7,20.4,18,1,2321200,636800,592800,2245.07,19,507,59,584,16.1,7.5,-8.6,3370,52,5,44,361,2193779,55.87,320,51,3439,13674,17113,1236,4670,5906,8055,260,43,11,3950,14.799999999999999,34,-0.251,18301,20065,38366,9893200,56539,174.9801022303189,14.499999999999998,0.1,2.2,0.3,2.5,1.8498564670682893,2.028160756883516,3.878017223951805
14,Iowa,IA,3.63333333333333,NA,4.07142857142857,3.77272727272727,2016,3106200,24,10,13,23,14.000000000000002,16,97,50,50,0.86,0.03,0.06,0.02,NA,NA,0.02,9.959999999999999,16.16,31.630000000000003,42.24,59094,3.5999999999999996,380705,7367,1453,16.8,-1.5,3,17.4,3.9,159.8,721.1,162.8,9.2,6.2,10.6,11.6,16.7,13.900000000000002,1,594900,150000,139300,1517.18,185,422,7,615,12.4,5.800000000000001,-6.6000000000000005,5020,66,3,16,132,726989,62.21,98,58.8,4306,11817,16123,1259,4634,5893,8200,300,20,4,4076,16.6,17,0.343,4376,4082,8458,3106200,55875,55.59194630872483,12,0.9,2.1,0,3,1.4087953126006052,1.3141459017448973,2.7229412143455027
15,Hawaii,HI,3.6,3.5,3.7,3.60714285714286,2016,1392400,23,9,13,24,14.000000000000002,17,90,49,51,0.19,0.02,0.1,0.39,NA,0.17,0.14,9.31,14.95,29.23,46.51,72133,3,176729,9685,2222,-4.8,-5,39,14.7,3,128.7,572,127,4.5,5.2,12.8,24.4,13.100000000000001,14.799999999999999,1,328400,115400,33900,2411.57,69,423,NA,492,9.6,4.6,-5,5148,60,2,-78,26,184449,69.81,17,11.200000000000001,4354,12008,16362,703,5160,5863,7299,262,26,2,4222,15.299999999999999,1,0.905,1809,1798,3607,1392400,6423,216.7834345321501,11.1,0.3,1.4,NA,1.7,1.2991956334386672,1.2912956047112898,2.590491238149957
16,Virginia,VA,3.55882352941176,3.5,3.55555555555556,3.546875,2016,8175000,25,9,12,27,13,14.000000000000002,93,48,52,0.61,0.18,0.11,0.07,NA,NA,0.03,11.51,15.370000000000001,27.389999999999997,45.72,66451,4.1000000000000005,826354,5836,1260,0.1,-4.1000000000000005,15,19.3,4.3999999999999995,156.1,715.5,150.7,12.1,13.5,16.7,12.7,15.299999999999999,16.3,0,999300,NA,NA,1958.58,55,378,100,532,16.900000000000002,11.899999999999999,-5.1,2857,46,5,26,110,1528472,63.13999999999999,185,51.2,5857,12088,17945,1487,4693,6180,7556,292,39,7,4218,22.1,19,0.264,11378,11495,22873,8175000,39598,206.44982069801506,11.700000000000001,0.2,1.5,0.4,2.1,1.3918042813455658,1.4061162079510705,2.797920489296636
17,California,CA,3.45,2.90909090909091,3.35294117647059,3.29166666666667,2016,39188300,25,10,13,26,12,14.000000000000002,87,50,50,0.38,0.05,0.39,0.15,0.01,0.01,0.02,13.98,17.86,27.6,40.550000000000004,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5000000000000004,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.879999999999995,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.25053695190834,10.8,0.3,1.2,0.3,1.8,1.3496375193616463,1.4726844491850883,2.8223219685467344
18,Florida,FL,3.44444444444444,3.04545454545455,3.825,3.51020408163265,2016,20545300,22,8,12,26,13,19,89,48,52,0.55,0.15,0.26,0.03,<.01,NA,0.01,13.04,19.64,31.39,35.93,51176,4.9,3454530,3509,890,-4.3,-10,27,16.8,3.5000000000000004,146.9,666.6,146.2,12.6,14.4,23.7,9.3,15.5,19.5,0,4036400,NA,NA,2091.2,98,310,211,619,28.799999999999997,18.4,-10.4,2466,44,6,69,264,5990814,21.82,1609,64.60000000000001,6297,11692,17989,1568,4692,6260,8076,287,57.99999999999999,7,4606,28.000000000000004,36,-0.307,27031,28971,56002,20545300,53997,380.48965683278703,13.700000000000001,0.4,1.2,1,2.6,1.3156780382861286,1.4101035273274178,2.7257815656135467
19,North Carolina,NC,3.4375,NA,3.4375,3.4375,2016,10068300,24,10,12,25,13,16,95,48,52,0.61,0.21,0.1,0.03,NA,NA,0.02,13.66,17.130000000000003,32.71,36.49,53764,5.1,1568387,4380,1168,-11.700000000000001,-10.100000000000001,44,18.3,4.6,161.6,782.4,155.8,13.7,15.4,19.7,16.5,17.9,18.3,0,2027900,NA,NA,1919.19,156,348,35,539,22.400000000000002,15.1,-7.3,4386,60,3,73,159,1902580,47.22,322,60.6,4832,12154,16986,1189,4528,5717,7264,389,54,3,3859,21.2,32,-0.194,13187,14755,27942,10068300,48718,206.66488772117083,13.900000000000002,0.6,1.3,0.2,2.1,1.3097543776009852,1.4654906985290466,2.775245076130032
20,Ohio,OH,3.43333333333333,3.4,3.41666666666667,3.42105263157895,2016,11468700,24,9,12,25,14.000000000000002,16,98,49,51,0.78,0.12,0.04,0.02,NA,NA,0.03,13.950000000000001,16.2,29.37,40.48,53985,5,1608633,5808,928,5.5,-3.8,7,19.3,5,173.4,832.3,185.1,12.9,32.9,39.1,15,22.5,18,1,3158600,710500,652300,2703.9,59,520,38,617,15.8,7.7,-8.1,1960,35,4,28,150,1396882,55.24,208,59.8,3969,13554,17523,1351,4940,6291,8712,268,30,14,4371,17.299999999999997,40,-0.391,19318,22463,41781,11468700,40953,280.04541791810124,14.099999999999998,0.2,2.4,0.2,2.9,1.684410613234281,1.9586352420065045,3.643045855240786
