year,state,pop_2016.x,pct_pop_age0-18_2016,pct_pop_age19-25_2016,pct_pop_age26-34_2016,pct_pop_age35-54_2016,pct_pop_age55-64_2016,pct_pop_age65_2016,pct_citizen_2016,pct_male_2016,pct_female_2016,pct_white_2016,pct_black_2016,pct_hispanic_2016,pct_asian_2016,pct_native_2016,pct_pacific_2016,pct_two_or_more_races_2016,pct_fpv<100_2016,pct_fpv100-199_2016,pct_fpv200-399_2016,pct_fpv>400_2016,med_house_income_2016,pct_unemployed_2016,avg_monthly_SNAP_2016,expend_per_cap_2016,forclosure_rate_2016,pct_change_monthly_umployment_2016,pct_change_monthly_SNAP_2016,economic_distress_rank_2016,pct_any_mental_illness_2016,pct_serious_mental_illness_2016,any_mental_illness_2016,serious_mental_illness_2016,cancer_death_rate_2016,death_rate_2016,cvs_death_rate_2016,firearm_death_rate_2016,opioid_od_death_rate_2016,all_drug_od_death_rate_2016,flu_pna_death_2016,pct_smoke_2017,reported_poor_health_2017,expansion_2017,total_medicaid_enroll_2017,expansion_group_enrolled_2017,expansion_group_newly_eligible_enrolled_2017,hosp_expense_inpatient_day_2016,hosp_rate_gov_hosp_2016,hosp_rate_nonprofit_hosp_2016,hosp_rate_forprofit_hosp_2016,hosp_rate_total_2016,pct_uninsured_2013,pct_uninsured_2016,pct_change_uninsured_2013_2016,herfindahl_hirschman_Index_2016,market_share_largest_insure_2016,no_insure_>5%_mark_share_2016,gross_margins_per_member_2016,total_pc_hpsa_2017,pop_hpsa_2017,pct_needs_met_2017,no_practitioners_needed_2017,pct_hdhp_2017,avg_fam_prem_employee_cont_2017,avg_fam_prem_employer_cont_2017,avg_fam_prem_total_2017,avg_sing_prem_employee_cont_2017,avg_sing_prem_employer_cont_2017,avg_sing_prem_total_2017,hc_exp_per_cap_2014,avg_bench_mktplace_prem,pct_pot_mkt_pop_enrol_2016,no_insur_provid_2016,insur_spend_per_cap_2014,pct_not_hav_pcp_2017,quality_rank_2016,quality_value_2016,no_pcp_2018,no_specialist_2018,no_total_md_2018,pop_2016.y,land_area,pop_density,no_pcp_per_pop,no_specialists_per_pop,(no_total_md_pop = (no_total_md_2018/pop_2016.x) * 1000)
2016,Hawaii,1392400,23,9,13,24,14.000000000000002,17,90,49,51,0.19,0.02,0.1,0.39,NA,0.17,0.14,9.31,14.95,29.23,46.51,72133,3,176729,9685,2222,-4.8,-5,39,0.147,0.03,NA,NA,128.7,572,127,4.5,5.2,12.8,24.4,0.128,0.148,1,328400,115400,33900,2411.57,69,423,NA,492,9.6,4.6,-5,5148,60,2,-78,26,184449,69.81,17,11.200000000000001,4713,13799,18512,675,5364,6039,7299,262,26,2,4222,16.8,1,0.905,1809,1798,3607,1392400,6423,216.7834345321501,1.2991956334386672,1.2912956047112898,2.590491238149957
2016,Idaho,1679000,28.000000000000004,9,11,24,13,15,96,50,50,0.82,0.01,0.13,0.02,NA,NA,0.01,11.110000000000001,19.85,35.120000000000005,33.93,56564,3.8,185303,4358,2000,-4.2,-7.5,41,0.21,0.048,NA,NA,150.9,725,160,14.6,7.4,15.2,11.3,0.143,0.151,0,311400,NA,NA,2707.92,89,215,85,389,23.200000000000003,15.2,-8,3369,49,4,-14,103,531793,48.36,88,51.6,4275,12893,17168,877,4981,5858,6927,284,51,5,3560,25.2,15,0.356,1599,1325,2924,1679000,82751,20.289785017703714,0.9523525908278738,0.7891602144133413,1.741512805241215
2016,Illinois,12607400,24,10,12,26,13,15,93,49,51,0.61,0.14,0.17,0.06,NA,NA,0.01,12.23,14.78,27.439999999999998,45.550000000000004,61386,5.800000000000001,1914393,4245,703,-5.3,-3.6999999999999997,17,0.155,0.037,NA,NA,163.5,724.3,165.7,11.7,15.3,18.9,14.5,0.155,0.179,1,2944000,690400,662200,2431.11,24,472,41,538,18.3,9.3,-9,4529,66,4,-8,234,3847031,57.43000000000001,527,48.9,4557,15099,19656,1382,5111,6493,8262,255,40,7,4875,18.099999999999998,26,0.084,21721,21155,42876,12607400,55593,226.7803500440703,1.7228770404682963,1.6779827720227802,3.4008598124910767
2016,Indiana,6503200,26,9,12,25,13,15,97,49,51,0.81,0.09,0.06,0.02,NA,NA,0.02,11.959999999999999,17.47,32.129999999999995,38.45,56094,4.3,741610,4735,1213,-1.5,-11.200000000000001,31,0.195,0.048,NA,NA,172.5,835,180.6,15,12.6,24,12.6,0.218,0.206,1,1314600,412700,265800,2357.27,70,386,72,528,19.3,10.8,-8.5,2302,33,5,36,159,3259892,78.36999999999999,234,59.599999999999994,4547,13706,18253,1460,4702,6162,8300,282,35,7,4078,19.2,39,-0.372,8040,8667,16707,6503200,35870,181.2991357680513,1.236314429819166,1.3327285028908846,2.5690429327100506
2016,Iowa,3106200,24,10,13,23,14.000000000000002,16,97,50,50,0.86,0.03,0.06,0.02,NA,NA,0.02,9.959999999999999,16.16,31.630000000000003,42.24,59094,3.5999999999999996,380705,7367,1453,16.8,-1.5,3,0.174,0.039,NA,NA,159.8,721.1,162.8,9.2,6.2,10.6,11.6,0.171,0.154,1,594900,150000,139300,1517.18,185,422,7,615,12.4,5.800000000000001,-6.6000000000000005,5020,66,3,16,132,726989,62.21,98,58.8,4262,12824,17086,1357,4771,6128,8200,300,20,4,4076,17.4,17,0.343,4376,4082,8458,3106200,55875,55.59194630872483,1.4087953126006052,1.3141459017448973,2.7229412143455027
2016,Kansas,2865000,27,9,12,24,14.000000000000002,15,96,50,50,0.74,0.06,0.14,0.02,NA,NA,0.03,11.4,17.49,32.99,38.12,56810,4.3,253833,5202,2506,8,-7.9,35,0.177,0.042,NA,NA,158.6,756.8,159.2,13.4,5.1,11.1,14.4,0.174,0.167,0,407900,NA,NA,1632.44,240,287,134,660,17.299999999999997,11.799999999999999,-5.5,3822,56.00000000000001,4,-11,169,802087,51.31,134,53.2,4848,13381,18229,1219,4888,6107,7651,264,31,3,4855,22.400000000000002,27,-0.012,4067,3758,7825,2865000,81823,35.01460469550126,1.419546247818499,1.3116928446771379,2.731239092495637
2016,Kentucky,4388200,25,10,11,26,13,16,97,49,51,0.84,0.08,0.05,NA,NA,NA,NA,15.310000000000002,21.69,30.09,32.910000000000004,45369,5,666264,7370,2468,-5.3,-11.600000000000001,48,0.215,0.051,NA,NA,193.8,938.4,203,17.5,23.6,33.5,17.3,0.246,0.255,1,1316300,462000,462000,1853.01,93,523,72,689,20.9,7.1,-13.8,5957,76,3,19,167,1117446,61.01,147,64.5,4764,12184,16948,1453,4648,6101,8004,261,30,7,4551,17.7,45,-0.651,5350,6320,11670,4388200,39732,110.44498137521393,1.2191787065311517,1.4402260607994166,2.6594047673305683
2016,Louisiana,4578500,26,10,12,25,13,14.000000000000002,98,48,52,0.59,0.32,0.05,0.02,NA,NA,0.02,20.28,19.99,27.61,32.129999999999995,42196,6.1,927168,5924,1859,6.1,23.5,5,0.168,0.044,NA,NA,171.9,870.5,213.1,21.3,7.7,21.8,14.3,0.231,0.229,1,1571900,324100,324100,1900.41,114,427,103,644,24.6,15.299999999999999,-9.3,4193,61,4,45,144,2719568,68.19,283,45.800000000000004,5977,11423,17400,1465,4561,6026,7815,353,38,4,4420,21.7,49,-1.043,6221,7387,13608,4578500,43566,105.09342147546252,1.3587419460522006,1.6134105056241126,2.972152451676313
2016,Maine,1321600,21,8,10,28.000000000000004,15,19,99,49,51,0.92,0.01,0.02,NA,NA,NA,0.03,12.98,18.18,29.720000000000002,39.12,50856,4,189245,6038,2175,-0.7000000000000001,-6.1,35,0.174,0.043,NA,NA,168.9,759,149.5,8.3,25.2,28.7,12,0.173,0.161,0,274500,NA,NA,2261.72,11,610,18,639,16,11.200000000000001,-4.8,4571,62,3,-9,68,85030,42.33,16,67.10000000000001,4825,12597,17422,1311,4821,6132,9531,335,57.99999999999999,3,5015,12.8,22,0.192,2431,2235,4666,1321600,30865,42.81872671310546,1.8394370460048428,1.69113196125908,3.5305690072639226
2016,Maryland,5932800,24,9,13,26,13,15,93,48,52,0.53,0.29,0.11,0.05,NA,NA,0.02,7.199999999999999,15.459999999999999,25.869999999999997,51.480000000000004,73760,4.2,744343,6778,675,-15.4,-7.3,34,0.162,0.033,NA,NA,156.5,717.6,164.3,11.9,29.7,33.2,15.1,0.138,0.154,1,1160800,277000,277000,2694.3,NA,498,2,500,13.900000000000002,8.3,-5.7,6406,79,2,1,60,1178084,47.15,231,48.3,6048,12867,18915,1711,4866,6577,8602,254,34,5,4343,16.8,18,0.322,10808,13493,24301,5932800,9775,606.9360613810742,1.8217367853290185,2.2743055555555554,4.0960423408845745
